,,,Validation Dataset,,,,,,Probability of being Plankton,,,,TSNE coordinates per model,,,,,,,,
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_929_2017-09-20_23_57_16.170_980_1692.png,Detritus,Y,N,Y,Y,0.27975738,0.78082186,0.009754889,0.082045026,-21.348917,33.728302,-22.936708,-66.938095,8.786557,33.17544,-8.411401,-3.7844985,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_629_2017-09-25_05_57_58.288_1618_989.png,Detritus,Y,N,Y,Y,0.31178346,0.78290886,0.4159504,0.4561142,-34.87214,37.100452,-28.069225,-64.87081,-3.4764843,24.832428,36.49608,39.578377,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_247_2017-09-21_10_53_50.448_1395_1387.png,Detritus,N,Y,Y,Y,0.76592976,0.35119873,0.1506148,0.18413937,2.3518832,19.44447,-33.30312,-36.527542,-67.138756,6.353771,-1.7031167,55.17707,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_138_2017-09-18_06_00_30.097_1382_467.png,Detritus,N,Y,Y,Y,0.5415046,0.41951767,0.03788815,0.35676682,-3.734875,-12.571428,-24.965923,-65.41886,-11.250468,-20.966457,-35.540783,7.4498873,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_638_2017-09-25_18_07_41.978_945_1954.png,Detritus,N,Y,Y,Y,0.5816773,0.40998366,0.015660774,0.030187389,-25.461018,35.287018,-26.955242,-70.79617,6.3729415,38.847363,-9.674277,-0.11406107,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-29_18_01_05.556_634_518.png,Detritus,Y,Y,Y,N,0.04905565,0.12988837,0.12490793,0.944178,-38.170956,46.16995,-48.64435,-64.97277,5.5022783,16.45751,29.916576,15.59693,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_905_2017-09-23_00_10_41.055_1162_1436.png,Detritus,N,Y,Y,Y,0.80251104,0.20801724,0.4997984,0.2821332,-5.6093397,12.595121,-35.243584,-37.366566,-20.517317,43.699753,33.086773,34.312122,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_635_2017-09-29_12_04_58.884_365_1900.png,Detritus,Y,N,Y,Y,0.11327862,0.5305915,0.3140449,0.1746305,-33.61972,46.49088,-24.006617,-50.82864,21.019566,26.767298,-3.4408865,22.306429,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_632_2017-09-21_18_07_51.879_1765_1141.png,Detritus,Y,N,Y,Y,0.05059716,0.6010229,0.004502819,0.166875,-43.212616,39.57032,-23.201687,-68.57867,10.368865,28.747492,10.469824,-11.565143,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_920_2017-09-20_18_01_09.974_1003_947.png,Detritus,Y,N,Y,Y,0.30715495,0.61716425,0.22587547,0.08394355,-23.099047,-28.205315,-25.603401,-41.20748,1.0740192,0.3343242,-0.28056735,38.132587,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_910_2017-09-21_06_04_30.013_1403_250.png,Detritus,Y,Y,N,Y,0.29156128,0.06723853,0.9023833,0.17353569,-27.613644,18.167158,-45.96387,-14.918877,-27.54055,38.519585,34.58497,51.140163,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_634_2017-09-29_12_04_58.884_1974_259.png,Detritus,Y,N,Y,Y,0.49483865,0.7263743,0.4105125,0.45174095,-15.179896,-7.255624,-12.906159,-62.987286,-31.933966,-22.52501,-17.760778,23.460236,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_915_2017-09-21_12_00_37.243_832_1262.png,Detritus,N,Y,Y,Y,0.5406586,0.09493362,0.08219799,0.013278898,-12.942303,8.494918,-49.585155,-3.427286,-69.07815,0.8145374,-3.7571173,53.749058,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_907_2017-09-21_00_08_23.959_0_1515.png,Detritus,N,Y,Y,Y,0.5385507,0.04643988,0.0343238,0.08331634,-18.855942,37.35878,-1.5944883,-51.974922,13.894817,26.910673,-44.548443,-20.059614,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_685_2017-09-27_05_55_28.248_717_1855.png,Detritus,Y,N,Y,Y,0.0851009,0.5686944,0.0199317,0.106623866,-22.588293,31.604662,-21.548895,-59.408447,2.0446208,36.58233,-45.87589,-18.94168,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_638_2017-09-28_12_09_24.725_1989_71.png,Detritus,Y,Y,Y,N,0.015992286,0.011311695,0.032427367,0.62529147,-39.711254,-7.222384,-57.122845,4.778624,-3.5007832,47.922855,37.873642,-1.7070528,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-24_18_05_45.523_576_1196.png,Detritus,Y,Y,Y,N,0.11809264,0.1411222,0.15912005,0.8244616,-44.398174,63.71443,-41.518295,-63.60037,1.2402803,28.722439,16.679272,2.9759688,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_636_2017-09-23_17_59_02.679_12_975.png,Detritus,Y,Y,N,Y,0.20522468,0.26192343,0.9147114,0.4689773,-31.543703,17.553135,-31.35662,-41.53847,4.213961,33.768024,10.216159,60.277695,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-22_03_57_39.662_1177_1634.png,Detritus,Y,Y,Y,N,0.012579178,0.0031164112,0.059482936,0.73762465,-65.32474,10.460569,-61.19786,11.080097,-39.213913,-30.07155,30.92367,14.309459,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_759_2017-09-30_00_19_26.844_1757_0.png,Detritus,N,Y,Y,Y,0.9593978,0.016984338,0.041934803,0.20459534,-8.281388,7.27115,-62.614616,-39.642776,-68.785095,-5.2295794,21.97751,54.184456,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_629_2017-09-22_03_57_39.662_1933_90.png,Detritus,Y,Y,Y,N,0.37934047,0.35901624,0.16825509,0.62842137,-21.665152,-20.20697,-27.064873,-57.32946,-14.517892,5.7141433,9.671832,21.824741,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_961_2017-09-20_15_36_29.632_1633_171.png,Detritus,Y,Y,Y,N,0.08809488,0.24678868,0.25959748,0.68362993,-35.83207,63.313915,-40.235218,-57.1092,15.527555,31.797804,20.716223,0.277551,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_904_2017-09-20_23_57_16.170_271_530.png,Detritus,Y,Y,N,Y,0.012232912,0.0154595245,0.70920026,0.36847788,-41.741417,61.354652,-61.397568,-35.23575,-3.2001383,24.63634,39.79552,37.668255,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_943_2017-09-20_18_01_09.974_518_954.png,Detritus,N,Y,Y,Y,0.57468855,0.43106914,0.12149053,0.19000721,-29.591776,50.419003,-41.44805,-51.80583,-3.2832553,16.70366,6.3058395,3.0419464,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_791_2017-10-06_20_57_23.135_729_664.png,Detritus,Y,N,Y,Y,0.4599651,0.64939094,0.43781796,0.14387845,-4.201136,-12.234958,-28.494915,-61.242504,-17.065573,5.388172,-27.888306,-13.799178,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_777_2017-09-22_03_57_39.662_16_1565.png,Detritus,Y,N,Y,Y,0.005964624,0.8648982,0.0013923018,0.031702016,-54.208057,-35.12487,-25.731962,-47.242245,-31.319494,2.5092695,-55.35724,7.8337197,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-22_03_57_39.662_1421_698.png,Detritus,Y,Y,Y,N,0.046060964,0.04009199,0.0073393066,0.8648387,-44.86207,55.42899,-49.94945,-59.133816,6.0838437,33.24976,-10.5234165,-13.620323,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_638_2017-09-28_00_06_04.294_1710_1847.png,Detritus,Y,N,Y,Y,0.059280317,0.58407575,0.05998631,0.35216156,-27.6502,33.11144,-19.392773,-68.72696,-56.824375,22.893303,25.98332,30.314476,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_632_2017-09-30_12_00_31.607_1104_467.png,Detritus,Y,Y,Y,N,0.15355696,0.36461893,0.030016424,0.8014255,-35.131035,-39.848286,-26.878202,-64.38373,5.919158,-9.803008,-21.193293,13.142322,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-27_05_55_28.248_606_796.png,Detritus,Y,Y,Y,N,0.004078322,0.007063273,0.18319738,0.6176714,-70.0925,-7.7501955,-60.48205,-9.158992,-33.467285,-24.586367,-25.040604,13.563188,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_632_2017-09-25_18_07_41.978_1197_1978.png,Detritus,N,Y,Y,Y,0.5051187,0.013583594,0.002743542,0.08058781,-31.355692,30.115335,-58.50053,-41.16188,-7.6334014,36.911297,-61.00905,6.8643966,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-25_12_00_27.035_1214_1591.png,Detritus,Y,Y,Y,N,0.04990454,0.0301709,0.4164487,0.83435786,-36.080692,65.10212,-40.785294,-57.606476,9.177408,44.013035,50.312595,6.9370136,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-23_12_02_54.587_1572_984.png,Detritus,Y,N,Y,Y,0.18207294,0.6380206,0.2385712,0.31144476,-17.67336,12.047989,-37.053726,-37.547764,-4.867942,7.859355,39.68278,-2.0608587,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_931_2017-09-21_00_08_23.959_517_467.png,Detritus,Y,N,Y,Y,0.37372053,0.932921,0.040770777,0.06308709,-0.38258293,-7.3213654,24.898048,-32.72923,-62.387096,-3.1742232,-14.791169,64.39997,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_934_2017-09-22_18_03_26.967_1697_1897.png,Detritus,Y,Y,Y,N,0.18996695,0.07597101,0.10419013,0.5279215,-42.501102,52.992573,-35.405117,-53.45285,5.262678,43.41508,-0.6288455,-3.4423041,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_967_2017-09-20_15_36_29.632_751_1020.png,Detritus,Y,Y,N,Y,0.24684185,0.057701595,0.5688856,0.11026183,-28.52808,39.40018,-41.529106,-55.404816,-36.46564,40.191505,32.837837,43.74219,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-28_00_06_04.294_893_115.png,Detritus,Y,N,Y,Y,0.07465255,0.76497746,0.038669568,0.28960547,-45.92356,58.243656,-21.42352,-54.520218,4.9729266,26.910192,21.267076,-20.841833,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-28_00_06_04.294_1140_545.png,Detritus,Y,Y,N,Y,0.13601686,0.013556835,0.7572814,0.12260271,-29.021614,-10.439691,-36.948338,33.802326,-32.992287,-30.540558,-31.224188,56.865456,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_933_2017-09-22_18_03_26.967_1306_606.png,Detritus,Y,Y,Y,N,0.18372414,0.25734037,0.42031816,0.7154789,-36.431873,37.920197,-8.604882,-50.764683,17.411726,-60.856167,-40.3306,-30.792765,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-21_06_04_30.013_1544_0.png,Detritus,Y,N,Y,Y,0.35970277,0.9483205,0.45319927,0.05039186,-37.62004,49.639656,-41.176254,-69.45655,19.948862,46.568363,17.03818,10.263448,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_787_2017-09-29_18_01_05.556_220_307.png,Detritus,Y,Y,Y,N,0.10443903,0.02539541,0.058691606,0.5927544,-58.010925,22.35894,-62.236073,-44.98702,11.32577,17.179585,-18.849735,-34.457924,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_637_2017-09-25_05_57_58.288_1836_1556.png,Detritus,Y,N,Y,Y,0.42334712,0.5837094,0.07825714,0.2725012,-29.833815,39.664207,-29.916414,-55.69519,-32.814644,40.850403,33.89929,48.639656,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_911_2017-09-21_12_00_37.243_1898_1306.png,Detritus,Y,Y,N,Y,0.3022575,0.11284737,0.8236405,0.14259225,-32.339535,55.147655,-36.384975,-66.186714,1.3466885,27.028969,28.692667,30.91813,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_934_2017-09-22_18_03_26.967_113_609.png,Detritus,Y,Y,N,Y,0.016275484,0.004658788,0.5089149,0.13782638,-41.065098,60.448498,-59.68911,-39.775826,11.494399,26.149357,6.764426,-5.226065,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_914_2017-09-20_23_57_16.170_1857_1601.png,Detritus,N,Y,Y,Y,0.5197615,0.057082776,2.77E-05,0.13032049,-22.8491,36.38253,-49.081406,-52.412727,7.018347,32.254448,-44.36582,-18.622543,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-25_00_01_52.236_1062_1303.png,Detritus,Y,Y,Y,N,0.056004543,0.009912912,0.19709943,0.6312837,-19.729816,-10.508242,-56.626583,-19.234764,-9.351705,-13.94804,3.075567,18.802465,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_629_2017-09-24_06_02_23.018_332_935.png,Detritus,Y,Y,Y,N,0.3381633,0.041958354,0.36003554,0.6868377,-32.556873,62.107864,-50.419544,-60.901634,16.634836,32.35802,41.726776,-6.477354,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_927_2017-09-21_06_04_30.013_895_1711.png,Detritus,Y,N,Y,Y,0.3924194,0.9925371,0.08669241,0.33586028,4.217495,-12.270774,6.5768733,-59.222107,-5.904209,32.80771,-7.2791004,0.3654786,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_902_2017-09-20_18_01_09.974_1606_266.png,Detritus,Y,N,Y,Y,0.14434195,0.6943691,0.27604255,0.09995746,-33.364174,1.5095615,-4.5869446,-45.35389,-47.70818,-4.5539317,8.943914,29.305176,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-24_00_06_17.008_1157_669.png,Detritus,Y,Y,Y,N,0.19339697,0.31261188,0.10742136,0.5053999,-30.917473,52.492413,-31.463566,-69.53699,-8.456718,27.428495,17.122732,9.159572,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_629_2017-09-28_12_09_24.725_1587_665.png,Detritus,Y,N,Y,Y,0.16816652,0.51706654,0.0062990766,0.23487091,-31.6235,5.188305,-30.583244,-37.016235,-39.134624,10.561902,5.931667,26.916254,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-22_03_57_39.662_124_1216.png,Detritus,Y,N,Y,Y,0.020832472,0.5281814,0.051827688,0.0060148574,-29.344707,8.870571,-51.009987,-20.265562,-37.43956,-19.890867,-8.21187,53.481895,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_925_2017-09-21_00_08_23.959_414_991.png,Detritus,Y,Y,Y,N,0.29601434,0.39247233,0.071331084,0.63250786,-27.158716,38.390236,-32.736465,-64.97478,-16.794302,42.02072,37.70449,47.558315,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-27_12_02_43.349_1761_183.png,Detritus,Y,Y,Y,N,0.010695306,0.02851038,0.0029588758,0.74339044,-40.90985,67.68433,-58.044598,-53.75759,5.531353,31.78599,3.9027057,-7.950641,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-24_00_06_17.008_1940_648.png,Detritus,Y,Y,Y,N,0.060382985,0.0050756065,0.1360081,0.84433997,-40.63222,44.69318,-53.484,-38.235268,-9.276891,40.56816,27.352783,15.322676,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-29_12_04_58.884_1742_423.png,Detritus,N,Y,Y,Y,0.5951947,0.40439194,0.23755635,0.11603394,-27.059883,40.94092,-32.748676,-68.43512,-15.0848465,14.5984745,-8.844978,2.4614973,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_260_2017-10-06_20_57_23.135_1358_618.png,Detritus,Y,N,Y,Y,0.47834468,0.63780415,0.15555443,0.24474536,-13.14755,29.109049,-34.10363,-56.99278,13.51814,14.67269,-28.686056,-13.1955185,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-30_00_19_26.844_413_606.png,Detritus,N,Y,Y,Y,0.6282285,0.0049523804,0.042332854,0.1949767,-29.30106,45.876663,-63.618618,7.4882827,3.9003441,6.1284165,-9.933046,22.709063,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_910_2017-09-22_06_00_04.648_386_1151.png,Detritus,Y,Y,N,Y,0.12103985,0.39242393,0.51753247,0.4171959,-37.504707,61.7756,-30.602755,-72.26704,-2.2012148,41.51144,43.154438,25.124233,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_785_2017-09-21_18_07_51.879_642_1627.png,Detritus,Y,N,Y,Y,0.20048876,0.83910143,0.030463208,0.42768124,-3.1046286,-13.771993,-10.708405,-63.14894,-18.87995,-6.360544,-35.921314,-7.4201245,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_803_2017-09-30_00_19_26.844_171_814.png,Detritus,N,Y,Y,Y,0.6642394,0.254978,0.04410823,0.14043052,-28.60839,31.243544,-52.542454,-53.637787,-49.885517,10.345751,-12.918908,22.743694,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_629_2017-09-30_00_19_26.844_164_709.png,Detritus,Y,Y,N,Y,0.16586989,0.2169181,0.9215087,0.40384567,-45.857307,18.656849,-55.24458,-32.819794,-27.179893,37.273006,22.941671,53.317722,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-26_05_59_54.309_947_622.png,Detritus,Y,Y,Y,N,0.18484913,0.03111209,0.09570781,0.562155,-26.746584,-24.26548,-51.809364,-35.21838,4.7827873,4.752463,-20.581795,27.172665,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_916_2017-09-21_00_08_23.959_1224_76.png,Detritus,Y,Y,N,Y,0.35383445,0.3195183,0.9241084,0.4339334,-11.288885,18.63493,-32.86003,-53.5138,12.882083,0.5077165,17.450407,-19.66511,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_633_2017-09-22_06_00_04.648_326_1953.png,Detritus,Y,N,Y,Y,0.05704641,0.5187957,0.07574915,0.1097282,-35.175896,-40.722157,-25.945967,-40.46504,-14.175116,-12.037661,-0.10630207,32.74455,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_633_2017-09-29_00_01_37.713_1572_573.png,Detritus,N,Y,Y,Y,0.8386424,0.23850483,0.26622844,0.029126354,-25.448492,59.10344,-31.481785,-72.19421,13.9586735,33.20674,16.438717,-0.83855456,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_636_2017-09-30_06_04_25.087_1503_694.png,Detritus,N,Y,Y,Y,0.7424418,0.2599592,0.07357881,0.021478597,-23.884449,54.772446,-31.959152,-70.5018,-7.9076552,29.62241,-1.7512227,-0.034921773,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_962_2017-09-20_18_01_09.974_463_692.png,Detritus,Y,Y,Y,N,0.45519763,0.36494523,0.10099953,0.6405238,-27.095646,40.85314,-32.044987,-70.062386,-8.881759,27.271978,18.756838,1.3866845,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_685_2017-09-29_12_04_58.884_1014_1402.png,Detritus,Y,N,Y,Y,0.3365846,0.6781507,0.07539628,0.17734995,-17.366318,30.86507,-15.796551,-66.30754,-9.247014,-1.3288012,-26.514748,6.0100365,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_897_2017-09-21_00_08_23.959_1533_1636.png,Detritus,Y,Y,Y,N,0.124262005,0.07342789,0.03298854,0.55773616,-13.491845,2.272471,-52.731594,-2.3404505,-63.253418,-10.941528,-4.209968,41.2296,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_71_2017-09-18_02_07_59.208_0_1067.png,Detritus,Y,Y,Y,N,0.11944901,0.30521202,0.26598045,0.9196961,-25.574825,-4.586927,-31.819534,-49.33297,-10.969998,-2.6150892,-17.948639,2.8805962,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_794_2017-09-30_06_04_25.087_861_1961.png,Detritus,Y,Y,N,Y,0.26775494,0.32938123,0.6838015,0.1964492,-14.3147745,-8.625169,-23.620632,-68.795006,-17.967672,-13.051202,-31.987223,-14.787122,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_930_2017-09-22_18_03_26.967_1680_551.png,Detritus,Y,Y,N,Y,0.4915978,0.2807666,0.85190845,0.4224588,-20.374771,25.930408,-45.98945,-54.03159,-18.848516,35.72468,26.072008,23.808603,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_797_2017-09-25_18_07_41.978_1410_461.png,Detritus,Y,N,Y,Y,0.02852657,0.5333713,0.021746976,0.012706834,-47.270676,-4.83585,-39.023388,-24.726757,-41.29843,-10.904839,-18.85391,34.334576,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_903_2017-09-23_00_10_41.055_1834_538.png,Detritus,Y,N,Y,Y,0.02744478,0.5008189,0.006642192,0.017503962,-35.408646,-32.217983,-31.697731,-47.1265,-65.50097,3.3034348,-0.37307754,60.413433,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_636_2017-09-28_00_06_04.294_1872_1922.png,Detritus,Y,N,Y,Y,0.088342294,0.5454787,0.014366535,0.21294485,-35.427727,44.28302,-18.921375,-65.56825,-29.654793,14.47018,-9.818771,7.357787,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-21_00_08_23.959_243_1099.png,Detritus,Y,N,Y,Y,0.13207361,0.5018419,0.1747294,0.22673963,-5.7620234,-6.375241,-22.268618,-59.61828,-12.346355,-0.8887737,-39.631607,-4.914373,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_758_2017-09-27_12_02_43.349_1507_448.png,Detritus,Y,Y,N,Y,0.008120183,0.018822506,0.70473695,0.054653425,-24.392395,-16.16461,-49.18349,-8.712475,-16.54645,-16.871244,-57.41747,21.95738,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_34_2017-09-21_10_53_50.448_1616_782.png,Detritus,Y,Y,N,Y,0.023357442,0.06731355,0.812315,0.15189578,-33.19595,45.198772,-43.65453,-66.84329,21.591532,26.770332,-17.880135,38.079185,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_419_2017-09-16_00_06_14.278_818_1268.png,Detritus,Y,Y,Y,N,0.20169741,0.45383373,0.304157,0.78877145,-20.01534,29.574923,-7.2817836,-50.208942,19.037329,-30.059238,-37.8596,-33.205643,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_633_2017-09-30_06_04_25.087_1335_353.png,Detritus,Y,Y,N,Y,0.37759355,0.10756943,0.55766916,0.23046194,-17.256317,42.777874,-35.869152,-46.33134,-19.602709,47.047703,1.1218476,53.27362,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_446_2017-09-21_19_36_53.362_0_545.png,Detritus,Y,Y,Y,N,0.04674004,0.24843328,0.050130818,0.54198956,-27.182013,-6.6893644,-37.085346,-38.81973,-17.58981,-14.678099,-40.639164,-3.8091373,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_902_2017-09-22_06_00_04.648_934_1259.png,Detritus,Y,N,Y,Y,0.04583906,0.5795108,0.20304383,0.1462778,-66.89755,-37.97372,13.272469,-37.584473,-13.259843,14.366117,0.34238097,31.428425,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-29_05_57_44.317_1931_1816.png,Detritus,N,Y,Y,Y,0.611936,0.14059749,0.058384374,0.37391827,-14.118745,-4.6917152,-35.537178,-39.572166,8.676502,19.620693,8.917864,-28.4117,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_939_2017-09-20_15_36_29.632_113_1232.png,Detritus,Y,Y,Y,N,0.13621731,0.05692158,0.3958456,0.5427606,-32.38256,24.553093,-48.49646,-2.5456338,-27.73003,29.382433,20.833382,-5.8802156,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_945_2017-09-20_23_57_16.170_1990_1017.png,Detritus,Y,N,Y,Y,0.06585453,0.569499,0.010922929,0.21531114,-21.194525,-9.419193,-12.934732,-60.33986,-25.765886,1.4374112,-48.038624,-10.330795,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_942_2017-09-20_23_57_16.170_1072_503.png,Detritus,Y,Y,Y,N,0.0181498,0.00425005,0.16410692,0.8181907,-22.763973,-6.5844502,-52.694096,21.270588,-5.186494,2.1905053,22.117256,-18.130642,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_634_2017-09-22_06_00_04.648_102_1589.png,Detritus,Y,Y,Y,N,0.07386994,0.487217,0.027896883,0.58309454,-31.337963,25.12627,-26.318422,-61.7294,-15.762359,7.150166,-36.421383,-30.576855,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_630_2017-09-26_05_59_54.309_1720_3.png,Detritus,Y,Y,Y,N,0.044744905,0.13825627,0.010923218,0.5400183,-36.449898,46.41053,-43.39637,-63.15643,-3.8230886,31.729801,-12.623426,-6.90162,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_913_2017-09-20_23_57_16.170_581_856.png,Detritus,N,Y,Y,Y,0.5822635,0.29476365,0.035383794,0.22674415,-20.621052,13.076449,-49.649567,-37.01003,-12.388024,24.608387,18.174765,-12.068192,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_904_2017-09-20_18_01_09.974_1421_1165.png,Detritus,Y,N,Y,Y,0.21809258,0.66201514,0.0019603837,0.33403912,-46.979866,57.13593,-20.723244,-62.3397,12.054462,31.783855,36.508293,-19.525658,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_466_2017-09-16_12_04_57.704_1090_678.png,Detritus,Y,N,Y,Y,0.49102533,0.791369,0.11312447,0.2584967,-18.961147,-0.16375121,-20.504877,-43.17415,-0.24845463,-9.426579,-22.201262,35.24273,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_685_2017-09-30_17_56_38.342_523_1979.png,Detritus,N,Y,Y,Y,0.62351,0.14575364,0.041172538,0.06548347,-16.916065,4.1265254,-39.55037,-59.375225,-7.623306,36.962772,-10.468812,0.8396693,1
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_685_2017-09-30_17_56_38.342_843_405.png,Detritus,Y,Y,Y,Y,0.036367305,0.015828304,0.24793497,0.102443635,-37.63717,64.38534,-51.7003,-56.195576,-5.693136,25.856276,4.216893,9.536055,0
